time,hr,pep,pep_lvet,lvet,ppg_amp_ac,ppg_amp,pat,ptt
8757.848,51.99306759098787,94.0,0.20085470085470086,374.0,20.45968309979713,-24.167399859017685,67.0,-27.0
8761.234,50.505050505050505,94.0,0.20085470085470086,374.0,19.77585934882012,-24.3603282241292,67.0,-27.0
8769.538,48.701298701298704,94.0,0.20085470085470086,374.0,19.14701278125695,-25.058404616872576,67.0,-27.0
8770.77,50.16722408026756,94.0,0.20085470085470086,374.0,19.082214908274572,-23.57460804842301,67.0,-27.0
8771.966,53.28596802841919,94.0,0.2017167381974249,372.0,18.9928455636622,-24.27290511183351,66.0,-28.0
8778.896,53.380782918149464,94.0,0.2017167381974249,372.0,18.79677844867739,-24.215942466481987,66.0,-28.0
8780.02,49.423393739703464,94.0,0.2017167381974249,372.0,18.79647236707287,-24.45886795072523,66.0,-28.0
8781.234,51.107325383304946,94.0,0.2017167381974249,372.0,19.289422097819553,-32.86656111564318,66.0,-28.0
8822.232,51.99306759098787,94.0,0.2017167381974249,372.0,19.379209522618417,-33.15001210760026,66.0,-28.0
8823.386,53.956834532374096,94.0,0.2017167381974249,372.0,19.691349461903613,-35.74183840632548,65.0,-29.0
8824.498,50.847457627118644,94.0,0.2017167381974249,372.0,20.32419503279142,-38.55652143883134,65.0,-29.0
8825.678,50.76142131979696,94.0,0.2017167381974249,372.0,20.38966541190763,-40.65010884546954,65.0,-29.0
8826.86,52.631578947368425,94.0,0.2017167381974249,372.0,21.239565479437104,-41.625290734570555,65.0,-29.0
8828.0,51.282051282051285,94.0,0.2017167381974249,372.0,21.567123349015976,-44.1141945031569,65.0,-29.0
8836.994,53.28596802841919,94.0,0.2017167381974249,372.0,21.696607954869204,-43.636220333882214,65.0,-29.0
8854.369999999999,57.03422053231939,94.0,0.20085470085470086,374.0,21.6481771522591,-34.13270691743276,65.0,-29.0
8861.576,58.47953216374269,94.0,0.2017167381974249,372.0,21.531873974650892,-33.625288543064485,65.0,-29.0
8864.423999999999,64.1025641025641,92.0,0.19742489270386265,374.0,,,,
8876.518,55.65862708719851,92.0,0.19742489270386265,374.0,,,,
8881.766,57.03422053231939,92.0,0.19742489270386265,374.0,21.44464661273213,-37.15558808357502,65.0,-27.0
8885.08,53.0035335689046,92.0,0.19742489270386265,374.0,21.231558688393143,-37.222456341015466,65.0,-27.0
8888.484,55.35055350553505,92.0,0.19742489270386265,374.0,,,,
8895.11,52.35602094240838,92.0,0.19827586206896552,372.0,21.501510563865025,-40.4428663332967,65.0,-27.0
8898.476,58.252427184466015,92.0,0.19827586206896552,372.0,21.02482477310011,-44.16181122864971,65.0,-27.0
8899.506,54.44646098003629,,,,20.960399459676662,-46.478410007535864,65.0,
8910.784,55.04587155963302,90.0,0.1939655172413793,374.0,20.978090856475706,-48.29778534832219,65.0,-25.0
8911.874,52.81690140845071,90.0,0.19480519480519481,372.0,20.54606536042753,-45.07159794946981,66.0,-24.0
8913.01,54.84460694698354,,,,20.857939601933115,-44.31889566135554,66.0,
8914.104,55.248618784530386,70.0,0.15086206896551724,394.0,,,,
8915.19,54.24954792043399,70.0,0.15151515151515152,392.0,21.106131545434323,-37.9533324096443,66.0,-4.0
8916.296,57.915057915057915,70.0,0.15151515151515152,392.0,21.140154275695583,-37.75684793184554,66.0,-4.0
8917.332,57.47126436781609,70.0,0.15151515151515152,392.0,21.250465491431203,-36.46797285220585,66.0,-4.0
8918.376,56.81818181818181,70.0,0.15086206896551724,394.0,20.988987324775277,-33.13236413105241,66.0,-4.0
8919.432,54.54545454545454,70.0,0.15086206896551724,394.0,20.968291146658558,-30.000705716766518,66.0,-4.0
8920.532,55.65862708719851,70.0,0.15086206896551724,394.0,21.251335401365,-31.48337213210903,66.0,-4.0
8921.61,54.24954792043399,70.0,0.15021459227467812,396.0,21.39914928463163,-31.002472989791908,66.0,-4.0
8922.716,52.53940455341507,70.0,0.15021459227467812,396.0,21.260950109827316,-29.76188278403378,66.0,-4.0
8927.208,55.762081784386616,70.0,0.15086206896551724,394.0,21.502601056242963,-28.03144639588085,66.0,-4.0
8928.284,57.14285714285714,70.0,0.15021459227467812,396.0,21.97889036235412,-28.20320357444189,66.0,-4.0
8937.23,50.93378607809847,70.0,0.15021459227467812,396.0,21.95782443706097,-27.812071601245204,66.0,-4.0
8943.155999999999,51.282051282051285,72.0,0.15450643776824036,394.0,22.527733895875876,-28.721365433775933,66.0,-6.0
8946.724,50.33557046979866,72.0,0.15450643776824036,394.0,22.752839838084185,-36.863580204807654,65.0,-7.0
8950.114,51.369863013698634,,,,22.03880122675571,-33.804328964092385,65.0,
8951.282,50.847457627118644,72.0,0.15517241379310345,392.0,22.599193304395357,-33.61906019871977,65.0,-7.0
8957.946,56.71077504725898,,,,,,,
8962.284,57.80346820809248,,,,22.954255639863206,-37.146711096082505,64.0,
8965.534,57.36137667304015,,,,23.319488596559967,-40.6438925002263,64.0,
8966.58,58.027079303675045,72.0,0.15517241379310345,392.0,22.943239604274474,-41.59022622408627,64.0,-8.0
8967.614,59.171597633136095,72.0,0.15584415584415584,390.0,,,,
8968.628,58.59375,72.0,0.15517241379310345,392.0,,,,
8974.58,59.7609561752988,,,,22.631711638416228,-41.98147048815259,64.0,
8988.194,58.93909626719057,72.0,0.15584415584415584,390.0,,,,
8992.206,65.21739130434783,,,,22.283311753864478,-43.84899270247176,63.0,
8996.018,56.92599620493358,72.0,0.15517241379310345,392.0,,,,
8997.072,56.497175141242934,,,,22.13039934698873,-34.60582139827946,63.0,
8998.134,57.80346820809248,,,,22.562377304041696,-35.335923557286,63.0,
8999.172,60.120240480961925,70.0,0.15086206896551724,394.0,22.293427284856154,-36.149833239652764,63.0,-7.0
9000.17,58.59375,,,,22.231556329292054,-35.87623703813014,63.0,
9001.194,58.027079303675045,70.0,0.15086206896551724,394.0,,,,
9002.228,56.92599620493358,70.0,0.15086206896551724,394.0,21.354619607978456,-33.65051431404406,63.0,-7.0
9007.256,56.17977528089887,70.0,0.15086206896551724,394.0,,,,
9008.324,54.84460694698354,70.0,0.15086206896551724,394.0,,,,
9009.418,53.57142857142857,,,,,,,
9010.538,55.865921787709496,,,,21.176685477627466,-30.870308341723817,63.0,
9023.814,50.33557046979866,70.0,0.15086206896551724,394.0,21.523687183315285,-30.509882187677523,63.0,-7.0
9025.006,53.76344086021505,70.0,0.15086206896551724,394.0,21.494365097943806,-30.34801398374715,63.0,-7.0
9026.122,51.81347150259068,70.0,0.15021459227467812,396.0,21.39295488671454,-29.89604704142382,63.0,-7.0
9027.28,50.420168067226896,70.0,0.15021459227467812,396.0,21.279013508570145,-30.309562807370597,63.0,-7.0
9028.47,54.74452554744525,70.0,0.15021459227467812,396.0,20.845164216861587,-29.101430335252534,63.0,-7.0
9031.91,53.85996409335726,70.0,0.15021459227467812,396.0,20.434401951988008,-28.4877899900712,63.0,-7.0
9033.024,52.264808362369344,70.0,0.15021459227467812,396.0,20.25421736944372,-28.060089855860024,63.0,-7.0
9034.172,51.02040816326531,70.0,0.15021459227467812,396.0,20.167748964733487,-27.64739588352712,64.0,-6.0
9035.348,54.64480874316939,70.0,0.15021459227467812,396.0,18.48306251646697,-25.480759994651912,64.0,-6.0
9036.446,52.35602094240838,70.0,0.15021459227467812,396.0,18.20037643004727,-24.41618562712305,65.0,-5.0
9037.592,51.54639175257732,70.0,0.15021459227467812,396.0,18.101531981405223,-23.572489122503836,65.0,-5.0
9038.756,54.54545454545454,70.0,0.15021459227467812,396.0,18.163276645633204,-23.235970228070332,66.0,-4.0
9049.73,56.497175141242934,70.0,0.14957264957264957,398.0,,,,
9050.792,56.497175141242934,,,,18.55661418612343,-24.508603905082495,67.0,
9051.854,53.66726296958855,70.0,0.14957264957264957,398.0,18.663203370051146,-23.794876653173027,67.0,-3.0
9052.972,53.0035335689046,70.0,0.14957264957264957,398.0,18.81568684022925,-24.209702645365553,67.0,-3.0
9072.996,55.35055350553505,,,,18.68986587254225,-24.867168907939636,67.0,
9095.782,53.28596802841919,70.0,0.14957264957264957,398.0,19.79987551811933,-25.824243863155186,66.0,-4.0
9096.908,52.91005291005291,70.0,0.14893617021276595,400.0,19.99137451169804,-25.423952895012658,67.0,-3.0
9110.914,56.39097744360902,72.0,0.15319148936170213,398.0,20.201102148855995,-26.024572922095015,67.0,-5.0
9118.476,56.71077504725898,72.0,0.15254237288135594,400.0,20.189978608996164,-26.658124642266614,66.0,-6.0
9119.534,60.24096385542169,72.0,0.15254237288135594,400.0,,,,
9149.016,49.75124378109453,72.0,0.15254237288135594,400.0,19.848455988121216,-26.246664001794475,66.0,-6.0
