time,hr,hrv_lf,hrv_hf,hrv_rmssd,hrv_sd,hrv_sdsd,hrv_sdnn,pep,pep_lvet,lvet,ppg_amp_ac,ppg_amp,pat,ptt
9838.692,51.99306759098787,,,,,,,94.0,0.23267326732673269,310.0,,,,
9839.846,53.76344086021505,,,,,,,94.0,0.23267326732673269,310.0,6.084029199256237,13.306860669739514,73.0,-21.0
9840.962,51.99306759098787,,,,,,,96.0,0.23645320197044334,310.0,6.034398221984224,14.841574782295396,68.0,-28.0
9842.116,51.81347150259068,,,,,,,92.0,0.22772277227722773,312.0,,,,
9843.274,54.94505494505494,,,,,,,94.0,0.23383084577114427,308.0,6.204227028326605,14.557381206505637,64.0,-30.0
9844.366,52.72407732864675,,,,,,,96.0,0.2376237623762376,308.0,5.619785053893333,13.786467001522404,61.0,-35.0
9845.503999999999,51.90311418685121,,,,,,,96.0,0.2376237623762376,308.0,,,,
9846.66,54.74452554744525,,,,,,,96.0,0.2376237623762376,308.0,,,,
9847.756,53.19148936170213,,,,,,,98.0,0.24257425742574257,306.0,5.902112306207559,13.911327157466946,69.0,-29.0
9848.884,53.09734513274337,,,,,,,98.0,0.2413793103448276,308.0,5.892543313916791,13.083949661353534,66.0,-32.0
9850.014,56.074766355140184,,,,,,,98.0,0.24257425742574257,306.0,6.069184874904808,12.558493530754921,68.0,-30.0
9851.083999999999,54.94505494505494,,,,,,,98.0,0.24257425742574257,306.0,5.840723719458492,11.918307920126892,63.0,-35.0
9852.176,54.64480874316939,,,,,,,100.0,0.24630541871921183,306.0,6.200331930723201,12.16003060457452,64.0,-36.0
9853.274,55.762081784386616,,,,,,,98.0,0.24257425742574257,306.0,6.182715639472152,11.583762296299854,61.0,-37.0
9854.35,56.074766355140184,,,,,,,98.0,0.24257425742574257,306.0,6.237036402593224,11.741859838589425,62.0,-36.0
9855.42,53.66726296958855,,,,,,,98.0,0.24257425742574257,306.0,,,,
9856.538,53.57142857142857,,,,,,,96.0,0.2376237623762376,308.0,,,,
9857.658,56.60377358490566,,,,,,,96.0,0.23880597014925373,306.0,6.55153868111865,12.124179487498372,61.0,-35.0
9858.717999999999,53.76344086021505,,,,,,,96.0,0.2376237623762376,308.0,5.9860997500680755,11.369107492218284,56.0,-40.0
9859.833999999999,53.09734513274337,,,,,,,96.0,0.2376237623762376,308.0,,,,
9860.964,55.865921787709496,,,,,,,96.0,0.23880597014925373,306.0,6.091944788092562,11.454966880405507,62.0,-34.0
9862.038,53.57142857142857,,,,,,,96.0,0.23880597014925373,306.0,5.8243553536133845,11.264511344389645,56.0,-40.0
9863.158,53.57142857142857,,,,,,,98.0,0.24257425742574257,306.0,,,,
9864.278,56.28517823639775,,,,,,,96.0,0.23880597014925373,306.0,6.057668075211028,11.98652755844941,64.0,-32.0
9865.344,53.956834532374096,,,,,,,96.0,0.23880597014925373,306.0,5.93507768956748,12.049656497038674,59.0,-37.0
9866.456,53.475935828877,,,,,,,96.0,0.2376237623762376,308.0,5.878294582124134,12.437266367848938,65.0,-31.0
9867.578,54.54545454545454,,,,,,,96.0,0.23880597014925373,306.0,5.833327902983244,12.380813778825829,64.0,-32.0
9868.678,53.956834532374096,,,,,,,96.0,0.23880597014925373,306.0,5.618516181790378,12.77822848187343,67.0,-29.0
9869.789999999999,53.0035335689046,,,,,,,96.0,0.2376237623762376,308.0,,,,
9870.922,53.380782918149464,,,,,,,94.0,0.23383084577114427,308.0,,,,
9872.046,54.74452554744525,,,,,,,94.0,0.23383084577114427,308.0,5.889783759741592,13.318806260032366,67.0,-27.0
9873.142,52.53940455341507,,,,,,,94.0,0.23383084577114427,308.0,5.670570010602272,13.571900455445041,67.0,-27.0
9874.284,51.81347150259068,,,,,,,94.0,0.23267326732673269,310.0,,,,
9875.442,55.35055350553505,,,,,,,94.0,0.23383084577114427,308.0,6.0336083912892065,13.8194128043596,72.0,-22.0
9876.526,53.57142857142857,,,,,,,94.0,0.23267326732673269,310.0,5.79490255239589,12.82573898079705,68.0,-26.0
9877.646,52.264808362369344,,,,,,,94.0,0.23267326732673269,310.0,5.7179177819702645,12.89578712418462,67.0,-27.0
9878.794,55.452865064695004,,,,,,,94.0,0.23383084577114427,308.0,5.958827395122083,12.953081682063374,68.0,-26.0
