stim,SDNN,RMMSD,pnn50,nn50,SD1,SD2,SDratio,VLF,LF,HF,LFHF,LFn,HFn,POW
0,25.7736008383092,24.9799919936243,4.11764705882353,7,17.7150670059749,31.8548803375371,0.556117832440885,241.841357470617,141.566309996388,187.735481335155,0.75,0.429898390239421,0.570101609760579,571.14314880216
1,26.2708490983942,35.0656527102795,11.3513513513514,21,24.8614539375888,27.6083888122857,0.900503615282522,107.760357185862,95.977280929786,155.75502612723,0.62,0.381267236024845,0.618732763975155,359.492664242879
2,22.4986086693281,23.4738329493595,5.20833333333333,10,16.6418210314598,27.1187126698152,0.613665598145563,130.981465362131,61.298745952521,111.418577794842,0.55,0.354907919035291,0.64509208096471,303.698789109494
3,17.3859781475037,23.5347317359244,6.34920634920635,12,16.6854841423351,18.0593214497898,0.923926415991078,59.9896528601968,38.1153784181336,61.4705718850196,0.62,0.382738511829281,0.617261488170719,159.57560316335
4,42.0023121038259,43.2055771109372,10.6508875739645,18,30.6389871653057,50.8885145157395,0.602080596316665,497.336194031249,334.927621591839,278.431223456691,1.2,0.546054930642337,0.453945069357663,1110.69503907978
