time,hr,pep,pep_lvet,lvet,ppg_amp_ac,ppg_amp,pat,ptt
11547.742,110.7011070110701,96.0,0.43636363636363634,124.0,51.24929535085599,-63.23357716380347,108.0,12.0
11548.820000000002,73.71007371007371,,,,,,,
11550.95,110.7011070110701,,,,60.00633284241731,-35.7736294339265,114.0,
11551.492,110.7011070110701,,,,55.47392539443193,-62.4861200242133,109.0,
11552.034000000001,109.89010989010988,,,,50.31904625640892,-42.886316425540564,121.0,
11552.58,110.7011070110701,98.0,0.44545454545454544,122.0,,,,
11553.122000000001,110.29411764705881,,,,50.74444237622605,-296.4559565065145,119.0,
11553.666000000001,110.7011070110701,,,,52.211536981273326,-35.062743601883845,117.0,
11558.446000000002,109.89010989010988,,,,45.82223678354952,-197.93616287209113,,
11558.992,110.29411764705881,,,,42.98283760137632,5262.330826285789,116.0,
11559.536,108.69565217391303,,,,,,,
11560.088000000002,109.4890510948905,,,,42.98536678035727,-70.61526413966307,126.0,
11560.636,108.69565217391303,,,,36.8395444808704,-1779.66303280525,119.0,
11561.188,107.14285714285714,98.0,0.44545454545454544,122.0,32.06625493821442,-459.44289628944335,96.0,-2.0
11561.748000000001,106.76156583629893,,,,30.869566978329207,143.8474788913039,97.0,
11562.310000000001,109.09090909090908,,,,29.158874381002857,-49.881549703072686,96.0,
11562.86,111.1111111111111,,,,24.780822023874784,48.59413892507724,96.0,
11566.064,111.1111111111111,100.0,0.45454545454545453,120.0,27.759682461075514,-230.30646844788492,102.0,2.0
11566.604000000001,108.30324909747291,96.0,0.44036697247706424,122.0,,,,
11567.158000000001,109.4890510948905,,,,26.082774085651785,-163.7515277759069,107.0,
11567.706,108.69565217391303,,,,25.12382395892621,649.5582494717363,115.0,
11568.258000000002,110.29411764705881,,,,26.666450171017466,4930.257029572079,114.0,
11568.802000000001,111.1111111111111,94.0,0.43119266055045874,124.0,28.99657241045709,96.2502183956148,101.0,7.0
11569.342,109.4890510948905,,,,30.514936926536635,-47.823729307656826,101.0,
11569.890000000001,111.1111111111111,,,,25.229205989833623,38.611473332819585,112.0,
11570.43,109.09090909090908,,,,25.200067268094678,-258.9223895451733,100.0,
11570.980000000001,111.1111111111111,,,,24.714936104901664,35.41812361938684,101.0,
11571.52,110.7011070110701,,,,27.990163987751355,53.81380975517384,101.0,
11575.258000000002,109.89010989010988,96.0,0.43636363636363634,124.0,33.86634873920937,77.80709898528939,104.0,8.0
11575.804,109.4890510948905,94.0,0.42727272727272725,126.0,40.90043149830178,51.68121219356634,,
11576.352,107.91366906474819,94.0,0.43119266055045874,124.0,44.060077521636515,-171.45993226064925,108.0,14.0
11576.908000000001,108.69565217391303,,,,44.65657219947493,80.11010414434409,105.0,
11577.460000000001,109.89010989010988,,,,43.08525964496545,170.136659958797,105.0,
