time,hr,hrv_lf,hrv_hf,hrv_rmssd,hrv_sd,hrv_sdsd,hrv_sdnn,pep,pep_lvet,lvet,ppg_amp_ac,ppg_amp,pat,ptt
12103.608,94.04388714733543,,,,,,,44.0,0.14012738853503184,270.0,61.90303169824497,2128.1410557048416,173.0,129.0
12104.246000000001,95.54140127388536,,,,,,,44.0,0.13924050632911392,272.0,64.89984242414742,202.98932992166672,172.0,128.0
12104.874,90.36144578313252,,,,,,,44.0,0.14012738853503184,270.0,,,,
12105.538,93.75,,,,,,,44.0,0.14012738853503184,270.0,65.65833619110674,-6170.80577242436,172.0,128.0
12106.178,94.9367088607595,,,,,,,44.0,0.14012738853503184,270.0,75.45764829453763,53.29766759528745,174.0,130.0
12106.81,93.75,,,,,,,46.0,0.1464968152866242,268.0,,,,
12107.45,94.6372239747634,,,,,,,46.0,0.14556962025316456,270.0,79.78177594607277,537.0429337584468,166.0,120.0
12108.084,90.36144578313252,,,,,,,46.0,0.14556962025316456,270.0,85.54108591775437,238.28310011143793,164.0,118.0
12108.748,95.23809523809524,,,,,,,44.0,0.13924050632911392,272.0,83.8725172603406,-259.96296363903633,164.0,120.0
12109.378,94.6372239747634,,,,,,,44.0,0.13924050632911392,272.0,77.98275720365383,312.9420820560919,164.0,120.0
12110.012,94.6372239747634,,,,,,,44.0,0.13924050632911392,272.0,84.4286963187487,108.24045616651043,166.0,122.0
12110.646,89.55223880597015,,,,,,,44.0,0.13924050632911392,272.0,86.9177146149838,238.1818089934048,167.0,123.0
12111.316,94.6372239747634,,,,,,,,,,93.15351772672139,714.6082285346494,164.0,
12111.95,92.87925696594426,,,,,,,44.0,0.13924050632911392,272.0,85.59509358804794,-96.57516713399576,161.0,117.0
12112.596,94.04388714733543,,,,,,,,,,82.12106799704932,411.0955254373361,166.0,
12113.234,92.3076923076923,,,,,,,44.0,0.13924050632911392,272.0,,,,
12113.884,92.5925925925926,,,,,,,44.0,0.13836477987421383,274.0,75.34937373198899,-100.01147424181814,164.0,120.0
12114.532000000001,93.16770186335404,,,,,,,,,,65.72988845996991,333.743892418555,128.0,
12115.176,91.74311926605505,,,,,,,,,,71.05659729072859,69.47416080052423,130.0,
12115.83,92.02453987730061,,,,,,,44.0,0.13836477987421383,274.0,73.46229326364575,-104.51840911853671,155.0,111.0
12116.482,93.16770186335404,,,,,,,44.0,0.13836477987421383,274.0,65.58629331332926,-116.10387567801325,153.0,109.0
12117.126,94.33962264150944,,,,,,,46.0,0.14465408805031446,272.0,60.20847110446024,130.2784622002804,162.0,116.0
12117.762,93.16770186335404,,,,,,,44.0,0.13836477987421383,274.0,59.731395020641386,-122.33325661091006,133.0,89.0
12118.406,92.02453987730061,,,,,,,44.0,0.13836477987421383,274.0,50.82397070917213,-115.66438822446095,132.0,88.0
12119.058,91.74311926605505,,,,,,,,,,46.93001746789828,84.41162235321032,132.0,
12119.712,93.16770186335404,,,,,,,44.0,0.13836477987421383,274.0,55.6278832846086,160.9676718139257,,
12120.356,86.70520231213874,,,,,,,44.0,0.13836477987421383,274.0,54.496298226223715,-64.35368285915797,171.0,127.0
12121.048,90.09009009009009,,,,,,,44.0,0.13836477987421383,274.0,45.30499820398949,331.2687146931507,134.0,90.0
12121.714,92.02453987730061,,,,,,,44.0,0.13836477987421383,274.0,51.63758117086394,103.78478509301758,132.0,88.0
12122.366,91.74311926605505,,,,,,,44.0,0.13836477987421383,274.0,51.69455556912353,-113.47010284810403,133.0,89.0
12123.02,91.74311926605505,,,,,,,44.0,0.1375,276.0,49.6935696741546,85.53294666106966,132.0,88.0
12123.674,86.20689655172414,,,,,,,44.0,0.1375,276.0,60.40003410288821,69.14384619673025,132.0,88.0
12124.37,92.3076923076923,,,,,,,44.0,0.1375,276.0,71.18679434007458,-299.48269072365594,168.0,124.0
12125.02,91.1854103343465,,,,,,,44.0,0.1375,276.0,73.87751928153106,-490.3929190562171,168.0,124.0
12125.678,92.02453987730061,,,,,,,44.0,0.1375,276.0,,,,
12126.33,85.71428571428572,,,,,,,44.0,0.1375,276.0,76.61578102749084,-349.87347283085245,167.0,123.0
12127.03,91.1854103343465,,,,,,,46.0,0.14375,274.0,78.31880789067085,-463.2637603520545,166.0,120.0
12127.688,90.36144578313252,,,,,,,46.0,0.14375,274.0,79.27070835086536,-145.6643308089224,167.0,121.0
12128.352,91.1854103343465,,,,,,,46.0,0.14375,274.0,78.75535634780128,-173.0345411134336,166.0,120.0
12129.720000000001,89.55223880597015,,,,,,,46.0,0.14375,274.0,80.80792166185375,-275.6326547412383,165.0,119.0
12130.39,89.55223880597015,,,,,,,46.0,0.14375,274.0,,,,
12131.06,90.9090909090909,,,,,,,,,,80.4030499020684,-87.68415589294504,168.0,
12132.428,90.36144578313252,,,,,,,46.0,0.14375,274.0,74.22940296477971,-206.45767344947095,169.0,123.0
12133.092,90.63444108761328,,,,,,,46.0,0.14375,274.0,71.74339778068277,-212.41467352989494,167.0,121.0
12133.754,89.55223880597015,,,,,,,46.0,0.14375,274.0,70.7563726447798,-138.40637717541796,170.0,124.0
12134.424,90.36144578313252,,,,,,,46.0,0.14285714285714285,276.0,67.82461432369735,-222.36797294572585,171.0,125.0
12135.088,86.20689655172414,,,,,,,46.0,0.14285714285714285,276.0,74.68747113296021,237.6646559270742,165.0,119.0
12135.784,91.1854103343465,,,,,,,46.0,0.14285714285714285,276.0,95.74184571236806,-616.8874577500883,157.0,111.0
12136.442000000001,90.09009009009009,,,,,,,46.0,0.14285714285714285,276.0,99.01969657374178,-62.35410559690916,157.0,111.0
12137.108,91.74311926605505,,,,,,,46.0,0.14285714285714285,276.0,102.92927793334619,-1377.5616542697774,152.0,106.0
12138.472,90.36144578313252,,,,,,,46.0,0.14285714285714285,276.0,109.37473696224885,-102.2733480587838,150.0,104.0
12139.136,89.28571428571428,,,,,,,46.0,0.14375,274.0,110.32096911947633,-98.58285798840278,150.0,104.0
12139.808,90.36144578313252,,,,,,,,,,114.5936297771284,-100.29366410249591,148.0,
12141.19,92.87925696594426,,,,,,,,,,116.79480072124053,-76.74671553092426,147.0,
12141.836000000001,90.09009009009009,,,,,,,,,,109.72641619060178,-63.01550191784114,150.0,
12142.502,91.74311926605505,,,,,,,,,,91.89454465820072,-57.26492054002523,153.0,
12143.156,86.45533141210375,,,,,,,46.0,0.14375,274.0,87.76760165389624,-402.90856822724965,152.0,106.0
12143.85,92.87925696594426,,,,,,,46.0,0.14375,274.0,,,,
12144.496000000001,92.87925696594426,,,,,,,,,,82.57182353681993,-56.335921992575,156.0,
12145.142,91.74311926605505,,,,,,,46.0,0.14375,274.0,78.15052067670742,-150.66989645446304,157.0,111.0
12145.796,92.02453987730061,,,,,,,46.0,0.14375,274.0,78.65147299000019,-119.23942134639746,158.0,112.0
12146.448,88.23529411764706,,,,,,,46.0,0.14375,274.0,75.43821591726405,-159.36197017113233,159.0,113.0
12147.128,94.6372239747634,,,,,,,46.0,0.14375,274.0,75.77707052899825,-241.57094458090188,159.0,113.0
12147.762,93.16770186335404,,,,,,,46.0,0.14375,274.0,74.5650900957636,-157.68893675217024,161.0,115.0
12148.406,92.87925696594426,,,,,,,46.0,0.14285714285714285,276.0,74.79473472840849,-578.7594044805203,162.0,116.0
12149.052,86.95652173913044,,,,,,,46.0,0.14285714285714285,276.0,75.25188760635567,-296.0200764957126,163.0,117.0
12149.742,91.74311926605505,,,,,,,46.0,0.14285714285714285,276.0,73.95145524167518,-342.63805145064595,164.0,118.0
12150.396,92.5925925925926,,,,,,,46.0,0.14285714285714285,276.0,73.76151197027463,-1744.3101785284873,164.0,118.0
12151.044,91.1854103343465,,,,,,,46.0,0.14285714285714285,276.0,72.2245926576416,-546.6715386917139,164.0,118.0
12151.702000000001,92.3076923076923,,,,,,,46.0,0.14285714285714285,276.0,72.61491993762456,1669.6609584170742,165.0,119.0
12152.352,86.20689655172414,,,,,,,46.0,0.14285714285714285,276.0,74.03592745611851,3439.0612194861133,165.0,119.0
12153.048,93.75,,,,,,,46.0,0.14285714285714285,276.0,73.67090764517707,-935.2156585944838,166.0,120.0
12154.4,94.9367088607595,,,,,,,46.0,0.14285714285714285,276.0,71.55095394048993,-376.4626393739295,166.0,120.0
12155.032000000001,85.47008547008548,,,,,,,44.0,0.13664596273291926,278.0,69.03596863659706,-821.9478084552331,166.0,122.0
12155.734,92.02453987730061,,,,,,,44.0,0.13664596273291926,278.0,68.07458491749605,-470.3558802826162,166.0,122.0
12156.386,90.36144578313252,,,,,,,44.0,0.13664596273291926,278.0,65.77227848425863,-585.4459540148989,167.0,123.0
12157.050000000001,90.36144578313252,,,,,,,44.0,0.13664596273291926,278.0,66.06980969361013,-953.8253586897002,167.0,123.0
12157.714,90.09009009009009,,,,,,,,,,62.904106103570804,-107.673106011323,168.0,
12158.380000000001,90.9090909090909,,,,,,,44.0,0.13664596273291926,278.0,57.170434446954914,-138.1024137038182,172.0,128.0
12159.04,89.55223880597015,,,,,,,44.0,0.1375,276.0,,,,
12159.710000000001,92.3076923076923,,,,,,,44.0,0.1375,276.0,55.27717492025616,-216.36318605811155,173.0,129.0
12160.36,91.1854103343465,,,,,,,44.0,0.1375,276.0,54.62270225773729,-13774.631082303486,174.0,130.0
12161.018,91.74311926605505,,,,,,,46.0,0.14285714285714285,276.0,57.23710108192398,-708.699127725046,174.0,128.0
12161.672,86.45533141210375,,,,,,,46.0,0.14285714285714285,276.0,57.77032566453558,-218.65416223397696,174.0,128.0
12162.366,92.5925925925926,,,,,,,46.0,0.14285714285714285,276.0,57.662615672068206,-161.59411571705292,175.0,129.0
12163.014000000001,90.09009009009009,,,,,,,46.0,0.14285714285714285,276.0,57.60852622114296,-193.0514234931947,176.0,130.0
12163.68,92.02453987730061,,,,,,,,,,58.695076341395676,815.0292193708686,177.0,
12167.056,90.9090909090909,,,,,,,46.0,0.14285714285714285,276.0,60.998826643529334,2557.5703622075407,173.0,127.0
12167.716,84.98583569405099,,,,,,,46.0,0.14285714285714285,276.0,62.147594713919595,-912.447125142436,173.0,127.0
12168.422,93.75,,,,,,,46.0,0.14285714285714285,276.0,63.12618604629644,-235.4791275896655,173.0,127.0
12169.062,90.36144578313252,,,,,,,46.0,0.14285714285714285,276.0,60.35364067521445,-211.79053846137228,174.0,128.0
12169.726,91.46341463414633,,,,,,,46.0,0.14285714285714285,276.0,58.90438642106916,-534.4884659154135,175.0,129.0
12170.382,87.2093023255814,,,,,,,46.0,0.14285714285714285,276.0,,,,
12171.07,93.16770186335404,,,,,,,46.0,0.14285714285714285,276.0,58.41050353445456,3559.065868884298,175.0,129.0
12171.714,92.3076923076923,,,,,,,46.0,0.14285714285714285,276.0,57.16619251150993,-906.8262823735007,174.0,128.0
12172.364,91.74311926605505,,,,,,,46.0,0.14285714285714285,276.0,56.73307963568724,741.1205370574542,173.0,127.0
12173.018,90.63444108761328,,,,,,,46.0,0.14285714285714285,276.0,58.81053848914139,455.58729303634834,172.0,126.0
12173.68,89.55223880597015,,,,,,,46.0,0.14285714285714285,276.0,,,,
12174.35,92.5925925925926,,,,,,,46.0,0.14285714285714285,276.0,59.882603950817725,5353.699907461403,171.0,125.0
12177.674,92.02453987730061,,,,,,,46.0,0.14285714285714285,276.0,57.16846815327548,-551.0823947746394,170.0,124.0
12178.326000000001,92.87925696594426,,,,,,,46.0,0.14285714285714285,276.0,57.62508867663031,331.4843630094376,170.0,124.0
12178.972,90.9090909090909,,,,,,,46.0,0.14285714285714285,276.0,59.04696493071225,370.2678746084428,169.0,123.0
12179.632,91.74311926605505,,,,,,,46.0,0.14285714285714285,276.0,,,,
12180.286,94.04388714733543,,,,,,,46.0,0.14285714285714285,276.0,60.45881297113351,-6070.097569080398,200.0,154.0
12180.924,93.16770186335404,,,,,,,46.0,0.14285714285714285,276.0,59.66576199813443,-393.4379808834775,169.0,123.0
12181.568000000001,89.02077151335311,,,,,,,46.0,0.14285714285714285,276.0,,,,
