time,hr,hrv_lf,hrv_hf,hrv_rmssd,hrv_sd,hrv_sdsd,hrv_sdnn,pep,pep_lvet,lvet,ppg_amp_ac,ppg_amp,pat,ptt
11333.514000000001,100.67114093959732,,,,,,,96.0,0.2926829268292683,232.0,27.515064033735502,-24.84824197661235,34.0,-62.0
11334.11,101.35135135135135,,,,,,,96.0,0.27586206896551724,252.0,25.0316439949284,-84.06244570122195,31.0,-65.0
11334.702000000001,101.69491525423729,,,,,,,98.0,0.28,252.0,25.973814600543367,-71.48256323571464,30.0,-68.0
11335.292000000001,101.35135135135135,,,,,,,98.0,0.2784090909090909,254.0,26.237937462735783,-124.0234414860633,31.0,-67.0
11335.884,101.69491525423729,,,,,,,98.0,0.2784090909090909,254.0,28.285244497615214,-339.23197182534096,31.0,-67.0
11336.474,103.09278350515464,,,,,,,98.0,0.28,252.0,27.740182806288743,-56.701889196813454,30.0,-68.0
11337.056,103.80622837370242,,,,,,,98.0,0.28,252.0,25.52843478278404,-85.54233950097718,29.0,-69.0
11337.634,104.52961672473869,,,,,,,98.0,0.28,252.0,28.191110393425003,81.6354997250909,30.0,-68.0
11338.208,103.09278350515464,,,,,,,,,,30.23282418562552,-147.32797844355372,31.0,
11338.79,102.73972602739727,,,,,,,96.0,0.2742857142857143,254.0,28.95062209685253,-234.2819875822982,31.0,-65.0
11339.374000000002,104.89510489510491,,,,,,,96.0,0.2742857142857143,254.0,29.139800006297996,127.4813151631179,31.0,-65.0
11339.946000000002,105.26315789473685,,,,,,,98.0,0.28,252.0,29.768913829840628,355.0500737632093,31.0,-67.0
11340.516000000001,105.26315789473685,,,,,,,98.0,0.28,252.0,,,,
11341.086000000001,104.16666666666667,,,,,,,96.0,0.2742857142857143,254.0,,,,
11341.662,103.44827586206897,,,,,,,96.0,0.2727272727272727,256.0,,,,
11342.242,103.44827586206897,,,,,,,96.0,0.2727272727272727,256.0,27.59423125336136,-60.14249402098943,30.0,-66.0
11342.822,102.38907849829351,,,,,,,96.0,0.2742857142857143,254.0,24.804504554546526,2430.9429871536404,30.0,-66.0
11343.408000000001,101.69491525423729,,,,,,,96.0,0.2742857142857143,254.0,24.25032670143322,424.33423710757637,31.0,-65.0
11343.998000000001,101.35135135135135,,,,,,,96.0,0.2727272727272727,256.0,,,,
11344.59,102.38907849829351,,,,,,,96.0,0.2727272727272727,256.0,,,,
11345.176000000001,101.69491525423729,,,,,,,96.0,0.2727272727272727,256.0,24.222550430882777,211.95844528101475,30.0,-66.0
11345.766000000001,102.38907849829351,,,,,,,96.0,0.2742857142857143,254.0,25.270929216782108,1184.6291420469706,29.0,-67.0
11346.352,103.44827586206897,,,,,,,96.0,0.2742857142857143,254.0,21.690528127612218,-42.11767967251849,28.0,-68.0
11346.932,102.04081632653062,,,,,,,96.0,0.2742857142857143,254.0,17.435373723017392,-66.24853379493526,27.0,-69.0
11347.52,102.04081632653062,,,,,,,96.0,0.2742857142857143,254.0,,,,
11348.108,101.35135135135135,,,,,,,96.0,0.2742857142857143,254.0,16.797011173289132,-270.13189448914653,26.0,-70.0
11348.7,99.66777408637874,,,,,,,96.0,0.27586206896551724,252.0,17.787006080987265,43.73391017851609,,
11349.302000000001,98.6842105263158,,,,,,,96.0,0.27586206896551724,252.0,20.933521705842843,61.49807931502126,28.0,-68.0
11349.910000000002,99.66777408637874,,,,,,,96.0,0.27586206896551724,252.0,,,,
11350.512,98.6842105263158,,,,,,,96.0,0.2774566473988439,250.0,21.53477438926253,-84.96652388488216,28.0,-68.0
11351.12,98.03921568627452,,,,,,,96.0,0.2774566473988439,250.0,,,,
11351.732,99.66777408637874,,,,,,,96.0,0.2774566473988439,250.0,18.369689629870095,-33.053032051505205,26.0,-70.0
11352.334,102.73972602739727,,,,,,,,,,17.521641996782886,84.16112878329363,42.0,
11352.918000000001,103.44827586206897,,,,,,,96.0,0.2774566473988439,250.0,21.342636057970886,43.7149447512672,26.0,-70.0
11353.498000000001,102.38907849829351,,,,,,,96.0,0.2774566473988439,250.0,25.213697374965562,82.63020430037609,28.0,-68.0
11354.084,102.38907849829351,,,,,,,96.0,0.2774566473988439,250.0,26.428578589861885,273.35021429232046,29.0,-67.0
11354.67,101.69491525423729,,,,,,,96.0,0.2774566473988439,250.0,,,,
11355.26,101.35135135135135,,,,,,,96.0,0.2774566473988439,250.0,,,,
11355.852,100.67114093959732,,,,,,,96.0,0.2774566473988439,250.0,27.17420290485196,-252.19438198016198,29.0,-67.0
11356.448,99.66777408637874,,,,,,,96.0,0.2774566473988439,250.0,,,,
11357.050000000001,99.00990099009901,,,,,,,94.0,0.27167630057803466,252.0,24.000600494575494,-38.365412061670604,27.0,-67.0
11357.656,98.03921568627452,,,,,,,94.0,0.27325581395348836,250.0,20.460735083089464,-1723.6243809922967,25.0,-69.0
11358.268,97.7198697068404,,,,,,,94.0,0.27325581395348836,250.0,21.28978592618774,55.274766853682756,26.0,-68.0
11358.882000000001,99.66777408637874,,,,,,,94.0,0.27325581395348836,250.0,22.79689947740909,95.8016733484731,27.0,-67.0
11359.484,99.33774834437087,,,,,,,94.0,0.27325581395348836,250.0,20.722370340038875,-56.32627764432955,26.0,-68.0
11360.088000000002,101.35135135135135,,,,,,,94.0,0.27485380116959063,248.0,16.22830274671905,-49.44757250584617,71.0,-23.0
11360.68,103.09278350515464,,,,,,,94.0,0.27485380116959063,248.0,15.939351541753119,-186.72490812313774,,
11361.262,104.52961672473869,,,,,,,94.0,0.27485380116959063,248.0,17.205152944535882,95.4464589998315,,
11361.836000000001,105.63380281690142,,,,,,,92.0,0.26900584795321636,250.0,,,,
11362.404,104.89510489510491,,,,,,,94.0,0.27485380116959063,248.0,16.499183283799415,31.506213166529996,,
11362.976,105.63380281690142,,,,,,,94.0,0.27485380116959063,248.0,16.1868644995191,-56.434140448380354,,
11363.544000000002,104.89510489510491,,,,,,,94.0,0.27485380116959063,248.0,17.16984016961638,-179.95962393403858,,
11364.116,104.89510489510491,,,,,,,94.0,0.27485380116959063,248.0,,,,
11364.688,105.26315789473685,,,,,,,94.0,0.27485380116959063,248.0,,,,
11365.258000000002,106.38297872340426,,,,,,,92.0,0.26900584795321636,250.0,,,,
11365.822,106.38297872340426,,,,,,,92.0,0.26900584795321636,250.0,18.302851964481718,-162.72677877512916,,
11366.386,106.38297872340426,,,,,,,92.0,0.27058823529411763,248.0,17.948187429400388,47.11359316523741,,
11366.95,106.76156583629893,,,,,,,92.0,0.27058823529411763,248.0,16.521894595983362,76.73335621311229,,
